,,,,
Saldos de productos,,,,
COLOMBIANA DE SABORES S.A.S. COLSABOR S.A.S.,,,,
811003961-9,,,,
"Miércoles, 31 de Diciembre de 2025 ",,,,
,,,,
,,,,
Código producto,Nombre producto,Referencia de fábrica,Saldo cantidades,
Bodega: 5 - BODEGA 5,,,423.00,
101187,R187,,423.00,
Producto: 101188 - R188,,,"23,150.00",
Bodega: 6 - COLSABOR UNICA,,,"23,150.00",
101188,R188,,"23,150.00",
Producto: 101190 - R190,,,"561,954.28",
Bodega: 6 - COLSABOR UNICA,,,"561,954.28",
101190,R190,,"561,954.28",
Producto: 101191 - R191,,,487.00,
Bodega: 5 - BODEGA 5,,,487.00,
101191,R191,,487.00,
Producto: 101196 - R196,,,649.96,
Bodega: 5 - BODEGA 5,,,649.96,
101196,R196,,649.96,
Producto: 101197 - R197,,,910.79,
Bodega: 5 - BODEGA 5,,,456.00,
101197,R197,,456.00,
Bodega: 6 - COLSABOR UNICA,,,454.79,
101197,R197,,454.79,
Producto: 101199 - R199,,,"1,277.14",
Bodega: 6 - COLSABOR UNICA,,,"1,277.14",
101199,R199,,"1,277.14",
Producto: 101201 - R201,,,490.00,
Bodega: 5 - BODEGA 5,,,490.00,
101201,R201,,490.00,
Producto: 101202 - R202,,,202.65,
Bodega: 6 - COLSABOR UNICA,,,202.65,
101202,R202,,202.65,
Producto: 101202R - R202R,,,"10,097.00",
Bodega: 6 - COLSABOR UNICA,,,"10,097.00",
101202R,R202R,,"10,097.00",
Producto: 101203 - R203,,,502.51,
Bodega: 5 - BODEGA 5,,,502.51,
101203,R203,,502.51,
Producto: 101204 - R204 AL 20,,,568.00,
Bodega: 6 - COLSABOR UNICA,,,568.00,
101204,R204 AL 20,,568.00,
Producto: 101205 - R205,,,"2,920.00",
Bodega: 6 - COLSABOR UNICA,,,"2,920.00",
101205,R205,,"2,920.00",
Producto: 101206 - R206,,,"1,294.00",
Bodega: 6 - COLSABOR UNICA,,,"1,294.00",
101206,R206,,"1,294.00",
Producto: 101207 - R207 AL 50,,,586.00,
Bodega: 5 - BODEGA 5,,,586.00,
101207,R207 AL 50,,586.00,
Producto: 101209 - R209,,,"2,233.00",
Bodega: 5 - BODEGA 5,,,"2,233.00",
101209,R209,,"2,233.00",
Producto: 101210 - R210,,,966.65,
Bodega: 6 - COLSABOR UNICA,,,966.65,
101210,R210,,966.65,
Producto: 101211 - R211,,,898.00,
Bodega: 6 - COLSABOR UNICA,,,898.00,
101211,R211,,898.00,
Producto: 101212 - R212,,,"2,962.00",
Bodega: 6 - COLSABOR UNICA,,,"2,962.00",
101212,R212,,"2,962.00",
Producto: 101213 - R213,,,205.00,
Bodega: 5 - BODEGA 5,,,205.00,
101213,R213,,205.00,
Producto: 101214 - R214,,,500.00,
Bodega: 5 - BODEGA 5,,,500.00,
101214,R214,,500.00,
Producto: 101216 - R216,,,-146.91,
Bodega: 6 - COLSABOR UNICA,,,-146.91,
101216,R216,,-146.91,
Producto: 101217 - R217,,,888.00,
Bodega: 6 - COLSABOR UNICA,,,888.00,
101217,R217,,888.00,
Producto: 101218 - R218,,,129.00,
Bodega: 5 - BODEGA 5,,,129.00,
101218,R218,,129.00,
Producto: 101220 - R220,,,"30,550.00",
Bodega: 6 - COLSABOR UNICA,,,"30,550.00",
101220,R220,,"30,550.00",
Producto: 101220N - VAINILLA NATURAL,,,500.00,
Bodega: 5 - BODEGA 5,,,500.00,
101220N,VAINILLA NATURAL,,500.00,
Producto: 101221 - R221,,,"5,775.32",
Bodega: 6 - COLSABOR UNICA,,,"5,775.32",
101221,R221,,"5,775.32",
Producto: 101224 - R224,,,"6,430.00",
Bodega: 6 - COLSABOR UNICA,,,"6,430.00",
101224,R224,,"6,430.00",
Producto: 101225 - R225,,,"4,275.15",
Bodega: 6 - COLSABOR UNICA,,,"4,275.15",
101225,R225,,"4,275.15",
Producto: 101226 - R226,,,"2,233.00",
Bodega: 6 - COLSABOR UNICA,,,"2,233.00",
101226,R226,,"2,233.00",
