,,,,,,,,,,,
Ventas por producto,,,,,,,,,,,
COLOMBIANA DE SABORES S.A.S. COLSABOR S.A.S.,,,,,,,,,,,
811003961-9,,,,,,,,,,,
De Enero 01 2025 a Diciembre 31 2025 ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Código producto,Nombre producto,Referencia fábrica,Grupo inventario,Cantidad vendida,Valor bruto,Descuento,Subtotal,Impuesto cargo,Impuesto retención,Total,
30303,ESENCIA COLSABOR AREQUIPE X 500 CC,,PRODUCTO TERMINADO,"2,472.00","18,690,634.00",0.00,"18,690,634.00","3,551,220.46",0.00,"22,241,854.46",
30304,ESENCIA COLSABOR BANANO X 500 CC,,PRODUCTO TERMINADO,"1,905.00","13,890,490.00",0.00,"13,890,490.00","2,639,193.10",0.00,"16,529,683.10",
30305,ESENCIA COLSABOR BRANDY X 500 CC,,PRODUCTO TERMINADO,8.00,"50,550.00",0.00,"50,550.00","9,604.50",0.00,"60,154.50",
30306,ESENCIA COLSABOR CAFE X 500 CC,,PRODUCTO TERMINADO,58.00,"333,184.00","2,865.52","330,318.48","62,760.51",0.00,"393,078.99",
30307,ESENCIA COLSABOR CANELA X 500 CC,,PRODUCTO TERMINADO,492.00,"3,127,184.00","17,193.12","3,109,990.88","590,898.26",0.00,"3,700,889.14",
30308,ESENCIA COLSABOR CARAMELO X 500 CC,,PRODUCTO TERMINADO,244.00,"1,852,086.00","11,462.08","1,840,623.92","349,718.54",0.00,"2,190,342.46",
30309,ESENCIA COLSABOR CEREZA X 500 CC,,PRODUCTO TERMINADO,117.00,"957,104.00",0.00,"957,104.00","181,849.76",0.00,"1,138,953.76",
30310,ESENCIA COLSABOR CLAVO DE OLOR X 500 CC,,PRODUCTO TERMINADO,6.00,"31,500.00",0.00,"31,500.00","5,985.00",0.00,"37,485.00",
30311,ESENCIA COLSABOR COCO X 500 CC,,PRODUCTO TERMINADO,"1,879.00","12,941,114.00","34,386.24","12,906,727.76","2,452,278.26",0.00,"15,359,006.02",
30312,ESENCIA COLSABOR KOLA ROJA X 500 CC,,PRODUCTO TERMINADO,428.00,"3,388,909.00",0.00,"3,388,909.00","643,892.71",0.00,"4,032,801.71",
